productos_precio_lista,sucursales_latitud,sucursales_longitud
1640.00,-24.74516,-65.4843
1575.00,-34.607527,-58.417039
1575.00,-34.597708,-58.418552
1575.00,-34.596806,-58.385504
1575.00,-34.611207,-58.451102
1575.00,-34.613032,-58.38934
1575.00,-34.621721,-58.386035
1575.00,-34.600723,-58.472445
1575.00,-34.598729,-58.438697
1575.00,-34.608,-58.446237
1575.00,-34.586529,-58.471107
1575.00,-34.624058,-58.405666
1575.00,-34.57511,-58.490427
1575.00,-35.0791052,-57.5156236
1575.00,-34.584696,-58.44113
1575.00,-34.564958,-58.440431
1575.00,-34.642728,-58.391368
1575.00,-34.618675,-58.404268
1575.00,-34.584795,-58.462928
1575.00,-34.2997,-60.24279
1575.00,-30.01845,-59.53157
1575.00,-34.639442,-58.51702
1575.00,-33.68169,-59.66675
1575.00,-34.80887,-58.388804
1575.00,-34.531566,-58.5262106
1575.00,-34.643977,-58.683783
1575.00,-34.5189208,-58.5605106
1575.00,-34.751627,-58.419417
1575.00,-34.830925,-58.457272
1575.00,-34.571709,-58.602061
1575.00,-34.819423,-58.27799
1575.00,-34.633596,-58.783554
1575.00,-34.925723,-57.907763
1575.00,-34.586125,-58.595549
1575.00,-34.804783,-58.477246
1575.00,-36.313707,-57.680161
1575.00,-34.682558,-58.666738
1575.00,-34.546947,-58.582492
1575.00,-34.490438,-58.624077
1575.00,-34.61042,-58.944474
1575.00,-34.666094,-58.616849
1575.00,-34.35006,-58.7914597
1575.00,-34.5141769,-58.5305171
1575.00,-34.5218226,-58.7876928
1575.00,-34.7329159,-58.4289309
1575.00,-31.855744,-59.027234
1575.00,-30.761145,-57.996407
1575.00,-31.7330526,-60.515308
1575.00,-30.7449462,-59.6445363
1575.00,-32.4838219,-58.2330284
1575.00,-31.649562,-60.7106075
1575.00,-32.4078411,-63.2485416
1575.00,-34.6783452,-58.4873173
1575.00,-31.6653404,-60.7653809
1575.00,-34.6308932,-58.3984397
1575.00,-29.180941,-58.079052
1575.00,-34.618411,-58.398396
1575.00,-35.033081,-63.012165
1575.00,-34.616082,-58.442562
1575.00,-34.6534717,-58.3887202
1575.00,-38.2722815,-57.837578
1575.00,-29.712736,-57.088783
1575.00,-34.579057,-58.4249155
1575.00,-34.565357,-58.461343
1575.00,-34.626092,-58.450539
1575.00,-34.551453,-58.466766
1575.00,-34.60445,-58.493794
1575.00,-31.3951436,-58.0129175
1575.00,-30.9850361,-57.9198417
1575.00,-34.6709522,-58.3904001
1575.00,-30.956411,-58.781227
1575.00,-32.2190005,-58.1482778
1575.00,-32.0697098,-60.6378708
1575.00,-34.6554344,-58.4141552
1575.00,-34.6432221,-58.4418066
1575.00,-34.5881385,-58.4856644
1575.00,-34.6462384,-58.4588908
1575.00,-34.6479782,-58.5063272
1575.00,-34.6651686,-58.5033475
1575.00,-38.160695,-58.78199
1575.00,-34.6278546,-58.5156425
1575.00,-35.031739,-58.417053
1575.00,-34.646222,-58.414442
1640.00,-24.7779849,-65.4099025
1640.00,-24.719693,-65.406139
1640.00,-24.811541,-65.426427
1640.00,-24.835587,-65.408501
1640.00,-24.19658,-65.309281
1640.00,-24.252255,-65.205416
1575.00,-34.6929971,-58.5721528
1575.00,-34.6383702,-58.5637695
1575.00,-34.683634,-58.419328
1575.00,-34.7687089,-58.3157794
1575.00,-34.5261124,-58.5190354
1575.00,-34.7505549,-58.5845855
1575.00,-34.557908,-58.535821
1575.00,-34.6835529,-58.5908523
1575.00,-34.7566941,-58.6035521
1575.00,-34.7039014,-58.2957429
1575.00,-34.5809379,-58.7538661
1575.00,-34.717682,-58.293961
1575.00,-34.5711412,-58.6163629
1575.00,-34.627523,-58.564382
1575.00,-33.487563,-60.009449
1575.00,-34.581585,-58.582063
1575.00,-33.8931182,-61.102164
1575.00,-34.7112428,-58.3100995
1575.00,-34.6028733,-58.9497271
1575.00,-34.7768729,-58.306397
1575.00,-34.5774375,-58.5885323
1575.00,-34.5972109,-58.5616585
1575.00,-34.54694,-58.71700179
1575.00,-34.7542213,-58.2380455
1575.00,-34.5371566,-58.7191665
1575.00,-34.6017727,-58.5274084
1575.00,-34.6659859,-58.5773305
1575.00,-34.6085744,-58.4836744
1575.00,-34.658345,-58.530866
1575.00,-34.551365,-58.55788
1575.00,-34.828383,-58.646106
1575.00,-34.732707,-58.607833
1575.00,-34.695787,-58.604223
1575.00,-34.413893,-58.605207
1575.00,-34.525556,-58.482846
1575.00,-34.664459,-58.361261
1575.00,-34.708837,-58.389681
1575.00,-34.65422,-58.572136
1575.00,-34.647419,-58.622425
1575.00,-34.433484,-58.567722
1575.00,-34.725159,-58.258795
1575.00,-34.659433,-59.659433
1575.00,-34.682639,-58.665442
1575.00,-34.698679,-58.505564
1575.00,-36.090224,-57.808933
1575.00,-34.715503,-58.538596
1575.00,-38.006626,-57.561287
1575.00,-34.550294,-58.590109
1575.00,-34.779216,-58.265288
1575.00,-34.61268,-58.391306
1575.00,-34.710692,-58.264991
1575.00,-34.673022,-58.732924
1575.00,-34.490615,-59.077967
1575.00,-34.6059,-58.560274
1575.00,-37.269858,-56.979257
1575.00,-34.658323,-58.761016
1575.00,-34.575055,-58.539508
1575.00,-34.909921,-57.98016
1575.00,-34.578933,-58.544216
1575.00,-37.976884,-57.561716
1575.00,-37.976884,-57.588349
1575.00,-34.531889,-58.500389
1575.00,-34.60986,-58.570369
1575.00,-34.904968,-57.962845
1575.00,-34.6139368,-58.5519628
1575.00,-34.654241,-58.793415
1575.00,-34.540584,-58.716217
1575.00,-37.848426,-58.255187
1575.00,-34.86542,-57.905602
1575.00,-34.535253,-58.743602
1575.00,-34.549358,-58.507512
1575.00,-34.499247,-58.716323
1575.00,-34.446854,-58.547487
1575.00,-34.939137,-57.986609
1575.00,-34.665894,-58.415865
1575.00,-34.909913,-57.954619
1575.00,-34.486142,-58.616579
1575.00,-38.027699,-57.559273
1575.00,-35.576611,-58.004916
1575.00,-34.7911301,-58.380203
1575.00,-34.589119,-58.572257
1575.00,-34.570649,-58.538861
1575.00,-34.594044,-58.537335
1575.00,-34.634849,-58.542463
1575.00,-34.4853288,-58.7291353
1575.00,-34.5019198,-58.667915617
1575.00,-34.5754854,-58.5307159
1575.00,-34.7334837,-58.3997083
1575.00,-34.6919464,-58.4092382
1575.00,-34.8564988,-58.5228057
1575.00,-34.6097868,-58.3828226
1575.00,-34.6130285,-58.4169895
1575.00,-34.5662875,-58.4651215
1575.00,-34.5668702,-58.5450264
1575.00,-34.5734458,-58.5317778
1575.00,-34.4915946,-58.7295524
1575.00,-34.5505817,-58.5576533
1575.00,-34.5024182,-58.7645278
1575.00,-34.5815345,-58.5415048
1575.00,-34.5757204,-58.5499705
1575.00,-34.4663421,-58.5846567
1575.00,-34.54435228,-58.71210959
1575.00,-34.9077959,-57.9616369
1575.00,-34.61213,-58.63901
1575.00,-34.58104,-58.63882
1575.00,-34.51821912,-58.74495203
1575.00,-34.5718271,-58.5236061
1575.00,-34.881901,-58.0074042
1575.00,-34.7767673,-58.3088338
1575.00,-34.9196568,-57.9428715
1575.00,-34.77985,-58.31504
1575.00,-34.9272395,-57.9387518
1575.00,-34.6145142,-58.6364481
1575.00,-34.46663,-58.64586
1575.00,-34.479176,-58.7419041
1575.00,-34.5473024,-58.5576045
1575.00,-34.536991,-58.577864
1575.00,-34.60213,-58.54294
1575.00,-34.8016,-58.7712
1575.00,-34.529241,-58.776617
1575.00,-34.53964,-58.72386
1575.00,-34.56057,-58.59595
1575.00,-34.48374,-58.78303
1575.00,-34.50517,-58.71927
1575.00,-34.58075,-58.60259
1575.00,-33.8954,-60.57341
1575.00,-32.48258,-58.22749
1575.00,-33.89933,-60.58409
1575.00,-34.7313,-58.26677
1575.00,-34.577994,-60.94896
1575.00,-34.64946,-58.61708
1575.00,-34.17574,-58.95415
1575.00,-34.87075,-61.53379
1575.00,-34.04382,-59.19806
1575.00,-35.97726,-62.73824
1575.00,-37.28566,-56.99298
1575.00,-34.8614,-61.53893
1575.00,-38.031,-60.09835
1575.00,-34.63466,-58.58048
1575.00,-34.79429,-58.35145
1575.00,-34.98569,-58.36737
1575.00,-34.47187,-58.6556
